Name,Language,Sex,Age,Email,,,,,,
"Exercise, Glute Ham Raise",Set,1,reps,12,bodyweight,0,extraWeight,10,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Kettlebell Halo ",Set,1,reps,8,weight,16,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Barbell Lying Triceps Extension",Set,1,reps,12,weight,10,,,,
,,,,,,,,,,
"Exercise, Dumbbell ‘W’’s",Set,1,reps,10,weight,2.5,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Barbell Lying Triceps Extension",Set,1,reps,12,weight,10,,,,
,,,,,,,,,,
"Exercise, Dumbbell ‘W’’s",Set,1,reps,10,weight,2.5,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Barbell Lying Triceps Extension",Set,1,reps,12,weight,10,,,,
,,,,,,,,,,
"Exercise, Dumbbell ‘W’’s",Set,1,reps,10,weight,2.5,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Week#2, Day#4: Legs, Chest, Abs etc.",2023-06-12,0,-1,-1,-1,-1,,,,
,,,,,,,,,,
"Exercise, Single Leg Press Machine",Set,1,reps,8,weight,50,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Calf Extension on Leg Press Machine ",Set,1,reps,10,weight,110,,,,
,,,,,,,,,,
"Exercise, Single Leg Press Machine",Set,1,reps,8,weight,50,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Calf Extension on Leg Press Machine ",Set,1,reps,10,weight,110,,,,
,,,,,,,,,,
"Exercise, Single Leg Press Machine",Set,1,reps,8,weight,50,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Calf Extension on Leg Press Machine ",Set,1,reps,10,weight,110,,,,
,,,,,,,,,,
"Exercise, Single Leg Press Machine",Set,1,reps,8,weight,50,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Calf Extension on Leg Press Machine ",Set,1,reps,10,weight,110,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Cable Chest Press",Set,1,reps,8,weight,15,,,,
,,,,,,,,,,
"Exercise, Cable Shoulder Abduction ",Set,1,reps,12,weight,5,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Cable Chest Press",Set,1,reps,8,weight,15,,,,
,,,,,,,,,,
"Exercise, Cable Shoulder Abduction ",Set,1,reps,12,weight,5,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Cable Chest Press",Set,1,reps,8,weight,15,,,,
,,,,,,,,,,
"Exercise, Cable Shoulder Abduction ",Set,1,reps,12,weight,5,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Cable Lat Prayers ",Set,1,reps,10,weight,30,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Lying Leg Raise",Set,1,bodyweight,0,reps,15,,,,
,,,,,,,,,,
"Exercise, Cable Lat Prayers ",Set,1,reps,10,weight,30,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Lying Leg Raise",Set,1,bodyweight,0,reps,15,,,,
,,,,,,,,,,
"Exercise, Cable Lat Prayers ",Set,1,reps,10,weight,30,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Lying Leg Raise",Set,1,bodyweight,0,reps,15,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Week #2, Day #2: Legs, Abs, Back etc.",2023-06-10,0,-1,-1,-1,-1,,,,
,,,,,,,,,,
"Exercise, Assisted Chin-Up",Set,1,reps,10,bodyweight,0,assistingWeight,80,,
,,,,,,,,,,
"Exercise, Dumbbell Single Leg Calf Raises",Set,1,reps,12,weight,12.5,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Assisted Chin-Up",Set,1,reps,10,bodyweight,0,assistingWeight,80,,
,,,,,,,,,,
"Exercise, Dumbbell Single Leg Calf Raises",Set,1,reps,12,weight,12.5,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Assisted Chin-Up",Set,1,reps,10,bodyweight,0,assistingWeight,80,,
,,,,,,,,,,
